"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260808","분당선","영통","7226","6880","20260811"
"20260808","5호선","오금","2228","2094","20260811"
"20260808","3호선","오금","3804","3732","20260811"
"20260808","경인선","오류동","8551","7859","20260811"
"20260808","분당선","오리","7092","6190","20260811"
"20260808","5호선","오목교(목동운동장앞)","17819","18346","20260811"
"20260808","수인선","오목천","2780","2163","20260811"
"20260808","중앙선","오빈","274","261","20260811"
"20260808","경부선","오산","9575","9333","20260811"
"20260808","경부선","오산대","2875","2541","20260811"
"20260808","안산선","오이도","6448","6748","20260811"
"20260808","경원선","옥수","46","38","20260811"
"20260808","3호선","옥수","6747","6834","20260811"
"20260808","7호선","온수(성공회대입구)","5385","5168","20260811"
"20260808","경인선","온수(성공회대입구)","4319","3918","20260811"
"20260808","장항선","온양온천","4209","4342","20260811"
"20260808","9호선2~3단계","올림픽공원(한국체대)","15272","15871","20260811"
"20260808","5호선","올림픽공원(한국체대)","6905","6569","20260811"
"20260808","5호선","왕십리(성동구청)","3584","4913","20260811"
"20260808","2호선","왕십리(성동구청)","13343","12176","20260811"
"20260808","경원선","왕십리(성동구청)","15645","16223","20260811"
"20260808","경원선","외대앞","9438","8662","20260811"
"20260808","2호선","용답","2102","1991","20260811"
"20260808","2호선","용두(동대문구청)","1545","1540","20260811"
"20260808","7호선","용마산(용마폭포공원)","4121","3872","20260811"
"20260808","중앙선","용문","2671","2861","20260811"
"20260808","경부선","용산","59537","63508","20260811"
"20260808","5호선","우장산","10658","10532","20260811"
"20260808","중앙선","운길산","579","540","20260811"
"20260808","공항철도 1호선","운서","9746","11132","20260811"
"20260808","경의선","운정","5924","5703","20260811"
"20260808","경의선","운천","6","7","20260811"
"20260808","일산선","원당","8050","7683","20260811"
"20260808","중앙선","원덕","342","338","20260811"
"20260808","수인선","원인재","3403","3387","20260811"
"20260808","서해선","원종","4256","4112","20260811"
"20260808","일산선","원흥","7526","7258","20260811"
"20260808","경원선","월계","4286","3926","20260811"
"20260808","6호선","월곡(동덕여대)","6990","6655","20260811"
"20260808","수인선","월곶","2239","2017","20260811"
"20260808","6호선","월드컵경기장(성산)","4482","4565","20260811"
"20260808","경의선","월롱","1141","1051","20260811"
"20260808","3호선","을지로3가","7883","7844","20260811"
"20260808","2호선","을지로3가","14454","15843","20260811"
